                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                0.86748,                0.65817,                 1.1995,                0.99188,                0.85714,                0.86824,                0.48747,                 1.8628,                 1.2141,                 2.5696,              0.0009902,              0.0009902,              0.0009902
                     53,                0.87677,                0.62545,                 1.1831,                      1,                0.83964,                0.85738,                 0.4853,                  1.859,                 1.2591,                  2.656,              0.0009704,              0.0009704,              0.0009704
                     54,                0.83966,                0.64058,                  1.132,                0.96267,                0.71429,                0.78898,                0.27458,                 2.3266,                 1.5563,                  3.128,              0.0009506,              0.0009506,              0.0009506
                     55,                0.84342,                0.62598,                 1.1749,                0.96153,                0.71429,                0.75813,                0.23326,                 2.4992,                 1.5539,                 3.2591,              0.0009308,              0.0009308,              0.0009308
                     56,                0.89576,                0.60049,                 1.2232,                0.86537,                0.71429,                0.79249,                0.26213,                 2.4553,                 1.4115,                 3.2343,               0.000911,               0.000911,               0.000911
                     57,                0.81284,                0.60639,                 1.1344,                0.79852,                 0.5672,                0.72659,                0.25009,                 2.2235,                 1.3697,                 2.8256,              0.0008912,              0.0008912,              0.0008912
                     58,                 0.8147,                0.59926,                 1.1545,                      1,                0.56356,                  0.723,                0.21156,                 2.4065,                 1.3496,                 2.6936,              0.0008714,              0.0008714,              0.0008714
                     59,                0.74502,                0.56164,                 1.1282,                0.90552,                0.28571,                0.37785,                0.11496,                 3.0381,                 1.6561,                 3.2807,              0.0008516,              0.0008516,              0.0008516
                     60,                0.77296,                0.59053,                 1.1728,                      1,                0.53872,                0.69132,                0.20282,                 2.0052,                 1.6031,                 2.0505,              0.0008318,              0.0008318,              0.0008318
                     61,                0.80095,                 0.6062,                 1.1755,                0.97366,                0.57143,                0.66676,                0.32493,                 1.7658,                 1.4672,                 1.9008,               0.000812,               0.000812,               0.000812
                     62,                0.76592,                0.56987,                 1.1063,                0.97033,                0.57143,                0.66915,                0.38449,                 1.5638,                 1.3958,                 1.8324,              0.0007922,              0.0007922,              0.0007922
                     63,                 0.7159,                0.51431,                 1.1245,                0.97418,                0.57143,                0.71833,                0.41522,                  1.627,                 1.3968,                 1.8708,              0.0007724,              0.0007724,              0.0007724
                     64,                0.67791,                0.48322,                 1.1032,                      1,                0.71364,                0.89742,                 0.4869,                 1.7101,                 1.1052,                 1.9368,              0.0007526,              0.0007526,              0.0007526
                     65,                0.83274,                0.55435,                 1.2308,                      1,                0.84501,                0.93667,                0.55756,                 1.5557,                0.89344,                 1.8808,              0.0007328,              0.0007328,              0.0007328
                     66,                0.75966,                0.59171,                 1.1842,                      1,                0.93275,                  0.995,                0.63258,                 1.4834,                0.85966,                 1.9578,               0.000713,               0.000713,               0.000713
                     67,                0.76937,                0.56026,                 1.1311,                      1,                0.96315,                  0.995,                0.58869,                 1.4977,                0.79085,                 2.0107,              0.0006932,              0.0006932,              0.0006932
                     68,                0.71755,                0.48947,                 1.0824,                0.98514,                0.85714,                0.88222,                0.48423,                 1.5832,                0.96672,                 1.9744,              0.0006734,              0.0006734,              0.0006734
                     69,                0.72103,                0.51751,                 1.1101,                0.98314,                0.85714,                0.88149,                0.45812,                  1.593,                 1.0914,                 1.9474,              0.0006536,              0.0006536,              0.0006536
                     70,                0.69004,                0.50036,                 1.1219,                0.96854,                0.71429,                0.84882,                0.45408,                 1.5652,                 1.1163,                 1.9305,              0.0006338,              0.0006338,              0.0006338
                     71,                0.68922,                0.50501,                 1.0872,                 0.9807,                0.71429,                 0.8519,                0.45725,                 1.5779,                 1.2492,                 1.9677,               0.000614,               0.000614,               0.000614
                     72,                0.70428,                0.50578,                 1.1033,                0.96796,                0.71429,                0.81314,                0.52133,                 1.3857,                 1.0418,                 1.8831,              0.0005942,              0.0005942,              0.0005942
                     73,                0.72872,                0.53871,                 1.1353,                0.97411,                0.71429,                0.82413,                0.51003,                 1.3804,                 1.0317,                 1.8977,              0.0005744,              0.0005744,              0.0005744
                     74,                0.84803,                0.56677,                 1.1935,                0.96567,                0.57143,                0.76517,                0.44481,                 1.4298,                 1.0445,                 2.0258,              0.0005546,              0.0005546,              0.0005546
                     75,                0.71272,                0.52586,                 1.1269,                0.97236,                0.57143,                0.76542,                0.41406,                 1.5698,                 1.1498,                 2.1017,              0.0005348,              0.0005348,              0.0005348
                     76,                0.68267,                0.49699,                 1.0938,                0.97025,                0.57143,                 0.7815,                0.38561,                 1.6988,                 1.1834,                 2.2369,               0.000515,               0.000515,               0.000515
                     77,                0.61733,                0.48707,                 1.0281,                0.80255,                0.71429,                0.82292,                0.40781,                 1.7708,                 1.0677,                 2.2613,              0.0004952,              0.0004952,              0.0004952
                     78,                0.63718,                0.47795,                 1.0668,                      1,                0.70736,                0.84567,                0.41033,                 1.8616,                 1.0534,                 2.2395,              0.0004754,              0.0004754,              0.0004754
                     79,                0.65231,                0.47613,                 1.0921,                0.97901,                0.71429,                0.84581,                0.39406,                  1.842,                  1.059,                 2.1547,              0.0004556,              0.0004556,              0.0004556
                     80,                0.60274,                0.45502,                  1.043,                0.84411,                0.71429,                0.86667,                0.42108,                 1.6527,                 1.0586,                 1.9351,              0.0004358,              0.0004358,              0.0004358
                     81,                0.59768,                0.42845,                 1.0114,                0.98961,                0.71429,                0.86455,                0.42852,                 1.6473,                   1.07,                 1.9273,               0.000416,               0.000416,               0.000416
                     82,                0.58587,                0.43135,                 1.0304,                0.98941,                0.71429,                0.82906,                0.38912,                 1.7279,                 1.0169,                 1.9956,              0.0003962,              0.0003962,              0.0003962
                     83,                0.64474,                0.45148,                 1.0451,                0.98844,                0.71429,                0.83591,                0.38705,                 1.7948,                0.98897,                 2.0918,              0.0003764,              0.0003764,              0.0003764
                     84,                0.66855,                0.49136,                 1.1179,                0.98835,                0.71429,                0.91667,                0.42981,                 1.7577,                0.90172,                 2.0687,              0.0003566,              0.0003566,              0.0003566
                     85,                 0.5393,                0.43019,                 1.0168,                      1,                0.84946,                0.93038,                0.42662,                 1.7877,                0.97838,                 2.1398,              0.0003368,              0.0003368,              0.0003368
                     86,                0.58998,                0.54728,                 1.0145,                      1,                0.85316,                0.93038,                0.47367,                 1.8119,                 1.0549,                 2.1378,               0.000317,               0.000317,               0.000317
                     87,                0.62524,                0.44378,                 1.0683,                      1,                0.85454,                 0.8942,                 0.4645,                 1.8479,                 1.1494,                 2.1697,              0.0002972,              0.0002972,              0.0002972
                     88,                0.54039,                0.40669,                 1.0059,                0.99867,                0.85714,                0.86526,                0.48434,                 1.7737,                 1.2151,                  2.175,              0.0002774,              0.0002774,              0.0002774
